UUID	Keywords
1000	Other Animal Model, Spectroscopy, Drug Screening / Pharmacology, Behavioral Assay
1001	Protein / Enzyme Assay
1002	None
1003	Simulation
1004	Computer Vision
1005	Machine Learning, Computer Vision
1006	Machine Learning
1007	None
1008	None
1009	Materials Testing, 3D Printing / Fabrication
1010	Materials Testing, 3D Printing / Fabrication
1011	Materials Testing
1012	Computer Vision
1013	Materials Testing
1014	Materials Testing
1015	Machine Learning, Materials Testing
1016	Materials Testing, 3D Printing / Fabrication, Synthesis
1017	Microbiology, Materials Testing, Synthesis
1018	Materials Testing
1019	Synthesis, Materials Testing
1020	Materials Testing, 3D Printing / Fabrication
1021	Microbiology, Materials Testing, 3D Printing / Fabrication
1022	Materials Testing, Synthesis
1023	Materials Testing, 3D Printing / Fabrication
1024	Machine Learning
1025	Microbiology
1026	Microbiology, Protein / Enzyme Assay, Synthesis
1027	Other Animal Model, Spectroscopy
1028	Synthesis, Materials Testing
1029	Microbiology, Drug Screening / Pharmacology
1030	Materials Testing
1031	Cell Culture, Materials Testing, Synthesis
1032	Other Animal Model, Materials Testing, Synthesis
1033	Microbiology, Materials Testing, 3D Printing / Fabrication
1034	Synthesis, Materials Testing
1035	Simulation
1036	Microbiology, Synthesis, Materials Testing
1037	Synthesis, Materials Testing
1038	Microbiology, Synthesis, Spectroscopy, Materials Testing
1039	Microbiology, Materials Testing, Synthesis, Spectroscopy
1040	Drosophila Model
1041	Other Animal Model, Drug Screening / Pharmacology, Behavioral Assay
1042	Microbiology, Materials Testing
1043	Other Animal Model, Drug Screening / Pharmacology
1044	Spectroscopy
1045	Materials Testing, 3D Printing / Fabrication
1046	None
1047	Drosophila Model, Spectroscopy, Drug Screening / Pharmacology
1048	Microbiology, Drug Screening / Pharmacology
1049	Other Animal Model
1050	None
1051	Field Study, Other Animal Model
1052	Microbiology, Protein / Enzyme Assay
1053	Other Animal Model
1054	Other Animal Model
1055	Materials Testing
1056	Materials Testing, 3D Printing / Fabrication
1057	Simulation
1058	Materials Testing
1059	Microbiology, Materials Testing
1060	Simulation
1061	Protein / Enzyme Assay
1062	Drosophila Model, Drug Screening / Pharmacology, Behavioral Assay
1063	Simulation, Remote Sensing / GIS
1064	Machine Learning, Molecular Docking, Drug Screening / Pharmacology, Synthesis
1065	3D Printing / Fabrication
1066	Machine Learning, Computational Biology, Molecular Docking, Drug Screening / Pharmacology
1067	Simulation
1068	None
1069	None
1070	Materials Testing
1071	None
1072	Other Animal Model, Microbiology, Protein / Enzyme Assay, Materials Testing
1073	Machine Learning
1074	None
1075	None
1076	None
1077	Spectroscopy, 3D Printing / Fabrication
1078	None
1079	None
1080	Materials Testing
1081	Simulation, Computational Biology
1082	Machine Learning
1083	Machine Learning
1084	Simulation
1085	Machine Learning
1086	Machine Learning, Computer Vision
1087	Molecular Docking, Computational Biology, Simulation
1088	Machine Learning, Simulation
1089	Machine Learning, Simulation
1090	None
1091	None
1092	None
1093	Materials Testing
1094	None
1095	Machine Learning
1096	Machine Learning, Computer Vision
1097	Machine Learning, Simulation
1098	Materials Testing
1099	Machine Learning
1100	Machine Learning, Computer Vision
1101	Spectroscopy
1102	Microbiology, Materials Testing
1103	Simulation
1104	Synthesis, Spectroscopy, Materials Testing
1105	Cell Culture, Protein / Enzyme Assay, Drug Screening / Pharmacology
1106	3D Printing / Fabrication, Materials Testing
1107	Materials Testing, Synthesis
1108	Synthesis, Protein / Enzyme Assay, Spectroscopy
1109	Microbiology, Materials Testing, Synthesis
1110	Synthesis, Spectroscopy, Materials Testing
1111	Synthesis, Materials Testing
1112	Drosophila Model, Drug Screening / Pharmacology, Behavioral Assay
1113	Materials Testing
1114	Spectroscopy
1115	Spectroscopy, Simulation
1116	Synthesis, Spectroscopy, Materials Testing
1117	Synthesis, Spectroscopy, Materials Testing
1118	Synthesis, Materials Testing
1119	Protein / Enzyme Assay, Spectroscopy, Field Study
1120	Microbiology, Protein / Enzyme Assay
